trace_id,span_id,duration,process_id,operation_name,has_logs,start_time,has_warnings,is_child,is_http,is_database
342763dccfa25eadcf4b7eb7971e55dd,ddf21d279a93bb2c,27208,0,18,0,1719225534032655,0,0,1,0
342763dccfa25eadcf4b7eb7971e55dd,67fb5ce86f3d8023,291,1,22,0,1719225534044853,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,04ffd69b54f79473,149,1,22,0,1719225534040868,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,33b9608dd4321d64,375,1,22,0,1719225534041544,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,6f9f8df15380865c,131,1,22,0,1719225534042048,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,d8bc7ea9b9e9b190,149,1,22,0,1719225534042275,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,dafffc7758f5abb9,194,1,22,0,1719225534040587,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,570c5aa098f58d3b,250,1,22,0,1719225534044098,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,1d1e0e3d6c7af98c,176,1,22,0,1719225534044476,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,d6a16632999d6b99,89,1,22,0,1719225534047964,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,5a8fa9d8c9528b3a,224,1,22,0,1719225534045287,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,a79142625223d6b6,123,1,22,0,1719225534042592,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,ff0805a383ba0404,136,1,22,0,1719225534045950,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,998544152b5fb9b1,200,1,22,0,1719225534043110,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,3b51cad620c2619c,131,1,22,0,1719225534046231,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,e7f3d11732a98972,366,1,22,0,1719225534043596,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,f254503e4f8e76fc,166,1,22,0,1719225534046468,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,cb91ab5ef9c0322b,25315,2,5,0,1719225534034261,0,1,0,0
342763dccfa25eadcf4b7eb7971e55dd,0e969fb81f353509,151,1,22,0,1719225534045627,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,14cd54e90957c7a0,127,1,22,0,1719225534046969,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,8331e9b5965e9ad1,146,1,22,0,1719225534047504,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,fe2ab0672a4e9175,134,1,22,0,1719225534047764,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,9844dce42ececba6,339,1,22,0,1719225534039453,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,45c859c56cb5f470,246,1,24,0,1719225534035676,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,67a60fc5b5b9dfbc,177,1,22,0,1719225534039998,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,bba0b17ea5da5d77,122,1,22,0,1719225534046752,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,a8b899ed92277da4,142,1,22,0,1719225534040323,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,2eccd1f6fda5cf5e,154,1,22,0,1719225534047186,0,1,0,1
